geneGC	obsGC
58.75227135069655	59.99625
58.75227135069655	58.335
58.75227135069655	58.36833333333333
58.75227135069655	57.158
58.75227135069655	56.55
58.75227135069655	58.512916666666655
58.75227135069655	59.309999999999995
58.75227135069655	58.664
58.75227135069655	58.038
43.103448275862064	41.75602564102566
43.103448275862064	41.873893805309756
43.103448275862064	41.58846153846154
43.103448275862064	41.97289156626507
43.103448275862064	41.80350649350654
43.103448275862064	41.93986486486488
43.103448275862064	41.91752688172043
43.103448275862064	41.926933333333366
43.103448275862064	41.71511627906978
43.103448275862064	41.98662921348316
42.55021018215787	42.79
57.74647887323944	62.96
57.74647887323944	57.75
58.35322195704057	62.54
58.35322195704057	62.5
46.92660550458715	46.93333333333333
46.92660550458715	45.99
46.92660550458715	48.58
58.08538163001293	62.19
58.08538163001293	58.70799999999999
58.08538163001293	56.205
58.08538163001293	50.175
58.08538163001293	61.61
58.08538163001293	60.163
58.08538163001293	62.28
58.08538163001293	54.20777777777778
41.26126126126126	42.71
41.26126126126126	44.35999999999999
48.641304347826086	48.14
38.75432525951557	34.97
39.03830480847596	33.13
44.354838709677416	43.14
44.354838709677416	40.2
53.65853658536586	53.476
58.2995951417004	62.968
51.69875424688561	64.02
53.22283609576427	50.28
57.653631284916194	54.81
55.948000981113566	60.21333333333333
41.54843940008107	34.31
41.54843940008107	35.4
56.34861006761833	59.22
56.34861006761833	57.39272727272728
56.34861006761833	60.4
56.34861006761833	57.83857142857143
56.34861006761833	57.74333333333333
56.34861006761833	60.575
56.34861006761833	57.465
45.22068095838588	38.05
48.263254113345525	44.96
48.263254113345525	39.69
48.263254113345525	48.75
61.2540192926045	66.67
43.96887159533074	44.48
37.89301755818701	34.14
37.89301755818701	38.27
56.53333333333334	55.21
56.53333333333334	55.3
56.53333333333334	55.31
58.66879234754882	51.53
58.66879234754882	54.09
41.97276104003302	39.16
38.05309734513274	37.98
46.126126126126124	46.8
63.07692307692307	62.79
40.8675799086758	45.0
44.68701095461659	46.43
44.68701095461659	48.74
44.68701095461659	45.57
44.68701095461659	38.53
44.68701095461659	44.303333333333335
44.68701095461659	48.22
56.50741350906095	55.36999999999999
56.50741350906095	55.525999999999996
56.50741350906095	56.34100000000001
56.50741350906095	57.008750000000006
56.50741350906095	56.76
56.50741350906095	57.8975
56.50741350906095	58.226
56.50741350906095	56.51142857142856
56.50741350906095	57.8688888888889
64.20677361853832	58.62
64.20677361853832	61.355000000000004
64.20677361853832	62.13
64.20677361853832	60.81
64.20677361853832	61.3
46.529284164859	38.9
46.529284164859	43.685
46.529284164859	49.589999999999996
46.529284164859	48.22571428571428
46.529284164859	50.095
46.529284164859	53.2275
46.529284164859	40.129999999999995
42.971887550200805	43.68
42.971887550200805	44.3775
42.971887550200805	43.755
42.971887550200805	43.57
42.971887550200805	43.9
27.84911717495987	28.46
27.84911717495987	27.965000000000003
57.2202166064982	52.7
55.21936459909228	57.11
55.21936459909228	57.22
54.03225806451613	58.46
54.03225806451613	58.57
54.03225806451613	56.760000000000005
54.03225806451613	56.10799999999999
41.59383033419023	42.58
41.59383033419023	40.72
41.59383033419023	40.49
41.59383033419023	41.195
65.4833836858006	57.09666666666667
41.83755853382852	40.291428571428575
41.83755853382852	42.96
55.26315789473685	57.43
37.96296296296296	37.96
38.285714285714285	36.7
38.285714285714285	37.90333333333333
41.03335841484826	33.41
41.03335841484826	36.75
41.03335841484826	39.13133333333334
34.681674287724235	32.810625
34.681674287724235	36.61333333333332
34.681674287724235	27.22
34.681674287724235	32.099062499999995
34.681674287724235	32.46636363636364
34.681674287724235	37.705000000000005
46.34146341463415	41.455
33.74792703150912	34.27
43.48894348894349	50.0
55.257009345794394	68.22
61.70365068002863	60.74
61.70365068002863	63.1
61.70365068002863	60.534285714285716
61.70365068002863	60.394999999999996
61.70365068002863	63.473333333333336
61.70365068002863	64.12333333333332
43.449324966723715	38.86
49.773863365865274	43.51
43.37931571974125	48.94
55.91054313099042	59.900000000000006
55.91054313099042	60.894999999999996
47.52252252252252	47.03
54.47761194029851	57.14
41.40715109573241	43.875
58.982035928143716	60.99
58.982035928143716	61.394999999999996
58.982035928143716	60.435
70.71563088512242	64.46
37.42487286176607	36.07928571428572
37.42487286176607	40.98333333333332
37.42487286176607	32.36
37.42487286176607	40.36899999999999
37.42487286176607	34.71
37.42487286176607	39.78076923076923
40.42829331602855	52.51
40.42829331602855	33.08
40.42829331602855	40.278
40.42829331602855	33.23
40.42829331602855	47.63
40.42829331602855	42.78
33.751044277360066	28.72
62.55247691015953	61.545
39.50413223140496	57.38
49.89676531314522	51.114999999999995
49.89676531314522	46.86
43.743536711478804	46.3125
43.743536711478804	44.29
38.95639742673338	43.988
45.89909443725744	44.97
45.89909443725744	45.03
45.89909443725744	42.38
45.89909443725744	45.24
45.89909443725744	39.8925
45.89909443725744	35.53
45.89909443725744	43.652
51.855171177630396	37.29
51.855171177630396	37.44
43.93809114359416	42.278333333333336
43.93809114359416	42.5775
43.93809114359416	39.54
43.93809114359416	40.476
48.167539267015705	47.46333333333333
48.167539267015705	47.0125
50.69475077194531	48.23375
50.69475077194531	46.69
45.64755838641189	45.88666666666666
53.734756097560975	52.96
53.734756097560975	53.8
38.783649052841476	37.52333333333333
38.783649052841476	36.59
38.783649052841476	36.053999999999995
48.31130690161527	44.588181818181816
48.31130690161527	41.48
48.31130690161527	43.127647058823534
48.31130690161527	46.9988888888889
48.31130690161527	41.53
48.31130690161527	46.98857142857143
48.31130690161527	51.76333333333333
48.31130690161527	41.41
48.31130690161527	44.16909090909091
59.56094742923166	59.64
49.44189100459619	47.129999999999995
38.412017167381975	39.57
53.30335524040124	52.08
53.30335524040124	49.06
44.567627494456765	45.42
49.280575539568346	48.975
40.62739097169089	30.37
40.62739097169089	37.16
37.38317757009346	37.38
39.7785622593068	39.766
39.7785622593068	38.57
39.7785622593068	40.85600000000001
39.7785622593068	40.75888888888889
39.7785622593068	39.23
39.7785622593068	54.83
39.7785622593068	50.0
39.7785622593068	44.36
39.7785622593068	39.56571428571429
46.375420067210754	44.05
46.375420067210754	51.17
46.375420067210754	35.24
45.395348837209305	53.03
58.160828025477706	57.699999999999996
45.63380281690141	44.92
38.20617355853233	41.370000000000005
38.20617355853233	35.17333333333334
38.13578062804069	38.97309090909091
38.13578062804069	40.439354838709676
38.13578062804069	41.80875
38.13578062804069	36.022499999999994
38.13578062804069	39.243125
38.13578062804069	39.78024999999999
40.692346852197524	32.7
43.78513429106808	45.6575
43.78513429106808	63.69
43.78513429106808	33.74
61.74863387978142	65.17
